basefreq = 261.63
R = Inf
range = Inf

------------------------------------------------------------
Now computing dissonance for (symmetrical) class ID=1 :
S =

  0  1  2  3
 [0,4,7,18] 	D = 2.7661
 [0,8,15,26] 	D = 1.7446
 [0,6,7,16] 	D = 2.7293
 [0,2,3,8] 	D = 4.3427
 [0,6,13,22] 	D = 1.6819
 [0,10,13,18] 	D = 2.3131
 [0,7,16,18] 	D = 2.2186
 [0,3,8,14] 	D = 2.8101
 [0,7,18,28] 	D = 1.6522
 [0,3,14,20] 	D = 2.6836
 [0,1,6,10] 	D = 3.2733
 [0,1,10,18] 	D = 3.0026
 [0,5,9,11] 	D = 2.9482
 [0,9,17,23] 	D = 1.6173
 [0,5,11,21] 	D = 2.0230
 [0,9,11,17] 	D = 2.5930
 [0,11,17,21] 	D = 1.8437
 [0,11,21,29] 	D = 1.8281

min, max, mean, stdev:
  1.60107  4.34268  2.49298  0.74953

------------------------------------------------------------
Now computing dissonance for (symmetrical) class ID=10 :
S =

  0  1  4  5

 [0,1,4,5] 	D = 4.9644
 [0,11,15,16] 	D = 2.7894
 [0,4,13,17] 	D = 2.5776
 [0,3,11,16] 	D = 2.7630
 [0,8,9,13] 	D = 3.1546
 [0,9,20,25] 	D = 1.7699
 [0,1,5,16] 	D = 3.3511
 [0,11,16,27] 	D = 1.8156
 [0,4,5,13] 	D = 3.5046
 [0,3,4,11] 	D = 3.8478
 [0,8,13,21] 	D = 2.2144
 [0,9,13,20] 	D = 2.2999
 [0,5,13,16] 	D = 2.4890
 [0,4,11,15] 	D = 2.5361
 [0,5,16,25] 	D = 1.9463
 [0,4,15,23] 	D = 2.0443
 [0,1,8,9] 	D = 3.8861
 [0,1,9,20] 	D = 3.0204
 [0,7,8,11] 	D = 3.3899
 [0,8,19,23] 	D = 1.6406
 [0,7,11,20] 	D = 2.3210
 [0,8,11,19] 	D = 2.3971
 [0,11,19,20] 	D = 2.6631
 [0,11,20,31] 	D = 2.0047

min, max, mean, stdev:
  1.64063  4.96444  2.72463  0.79880

------------------------------------------------------------
Now computing dissonance for class ID=11 :
S =

  0  1  4  6

 [0,1,4,6] 	D = 4.4885
 [0,11,15,17] 	D = 2.3349
 [0,4,13,18] 	D = 2.3588
 [0,3,11,17] 	D = 2.6573
 [0,8,9,14] 	D = 2.8986
 [0,9,20,26] 	D = 1.7938
 [0,1,6,16] 	D = 2.9337
 [0,11,17,27] 	D = 1.6674
 [0,4,6,13] 	D = 3.0439
 [0,3,5,11] 	D = 3.5510
 [0,8,14,21] 	D = 1.9349
 [0,9,14,20] 	D = 2.1077
 [0,6,13,16] 	D = 2.0869
 [0,5,11,15] 	D = 2.2730
 [0,6,16,25] 	D = 1.4365
 [0,5,15,23] 	D = 1.9016
 [0,2,8,9] 	D = 3.7136
 [0,2,9,20] 	D = 2.9780
 [0,6,7,10] 	D = 3.3274
 [0,7,18,22] 	D = 1.7439
 [0,6,10,19] 	D = 2.0959
 [0,7,10,18] 	D = 2.4351
 [0,10,18,19] 	D = 2.5417
 [0,10,19,30] 	D = 1.6530

min, max, mean, stdev:
  1.43645  4.48854  2.49821  0.75165

Now computing dissonance for the inverse form:
S =

  0  2  5  6

 [0,2,5,6] 	D = 4.5341
 [0,10,15,16] 	D = 2.6214
