 v___2_n_19_class_8_class11_ meanlst357_19.scl | 19 of mean-tone scale, least square error in 3/2, 5/4 and 7/4
 v___2_n_19_class_8_class11_ meanquar_19.scl | 19 of 1/4-comma mean-tone scale
 v___2_n_19_class_8_class11_ meansept2.scl | Mean-tone scale with septimal neutral second
 v___2_n_19_class_8_class11_ meansev_19.scl | 19 of 1/7-comma meantone scale
 v___2_n_19_class_8_class11_ meansixth_19.scl | 19 of 1/6-comma meantone scale
 v___2_n_19_class_8_class11_ meanthird_19.scl | Complete 1/3-comma meantone scale
 v___2_n_19_class_9_class10_ 19-36.scl | 19 out of 36-tET, Tomasz Liese, Tuning List, 1997
 v___2_n_22_class_7_class15_ 22-41.scl | 22 out of 41 by Stephen Soderberg, TL 17-11-98
 v___2_n_23_class10_class13_ bamboo.scl | Pythagorean scale with fifth average from Chinese bamboo tubes
 v___2_n_26_class_5_class21_ pyth_sev.scl | 26-tone Pythagorean scale based on 7/4
 v___2_n_26_class11_class15_ temp26eb3.scl | Cycle of 26 fifths, 5/4 beats three times 3/2
 v___2_n_27_class11_class16_ temp27eb2.scl | Cycle of 27 fourths, 5/4 beats twice 4/3
 v___2_n_27_class11_class16_ temp27c8.scl | Cycle of 27 fifths tempered by 1/8 of difference between augm. 2nd and 5/4
 v___2_n_29_class12_class17_ meansept5.scl | Mean-tone scale with septimal diminished fifth
 v___2_n_29_class12_class17_ temp29c14.scl | Cycle of 29 fifths 1/14 comma positive
 v___2_n_31_class_2_class29_ temp31ms.scl | Cycle of 31 5th root of 5/4 chromatic semitones
 v___2_n_31_class_5_class26_ temp31mt.scl | Cycle of 31 square root of 5/4 meantones
 v___2_n_31_class_6_class25_ temp31ebs2.scl | Cycle of 31 sevenths, 3/2 beats twice 7/4. Almost 31-tET
 v___2_n_31_class_6_class25_ temp31ebs1.scl | Cycle of 31 sevenths, 3/2 beats equal 7/4. 17/9 schisma fifth
 v___2_n_31_class_6_class25_ temp31g3.scl | Cycle of 31 sevenths tempered by 1/3 gamelan residue
 v___2_n_31_class_6_class25_ temp31g4.scl | Cycle of 31 sevenths tempered by 1/4 gamelan residue
 v___2_n_31_class_6_class25_ temp31g5.scl | Cycle of 31 sevenths tempered by 1/5 gamelan residue
 v___2_n_31_class_6_class25_ temp31g6.scl | Cycle of 31 sevenths tempered by 1/6 gamelan residue
 v___2_n_31_class_6_class25_ temp31g7.scl | Cycle of 31 sevenths tempered by 1/7 gamelan residue
 v___2_n_31_class10_class21_ pyth_third.scl | Cycle of 5/4 thirds
 v___2_n_31_class10_class21_ temp31w10.scl | Cycle of 31 thirds tempered by 1/10 Wuerschmidt comma
 v___2_n_31_class10_class21_ temp31w11.scl | Cycle of 31 thirds tempered by 1/11 Wuerschmidt comma
 v___2_n_31_class10_class21_ temp31w12.scl | Cycle of 31 thirds tempered by 1/12 Wuerschmidt comma
 v___2_n_31_class10_class21_ temp31w13.scl | Cycle of 31 thirds tempered by 1/13 Wuerschmidt comma
 v___2_n_31_class10_class21_ temp31w14.scl | Cycle of 31 thirds tempered by 1/14 Wuerschmidt comma
 v___2_n_31_class10_class21_ temp31w15.scl | Cycle of 31 thirds tempered by 1/15 Wuerschmidt comma, almost 31-tET
 v___2_n_31_class10_class21_ temp31eb1.scl | Cycle of 31 thirds, 3/2 beats equal 5/4. Third 1/18 synt. comma higher
 v___2_n_31_class10_class21_ temp31eb1a.scl | Cycle of 31 thirds, 5/4 beats equal 7/4
 v___2_n_31_class10_class21_ temp31eb2.scl | Cycle of 31 thirds, 3/2 beats twice 5/4
 v___2_n_31_class10_class21_ temp31eb2a.scl | Cycle of 31 thirds, 5/4 beats twice 3/2
 v___2_n_31_class10_class21_ temp31eb2b.scl | Cycle of 31 thirds, 5/4 beats twice 7/4 (7/4 beats twice 5/4 gives 31-tET)
 v___2_n_31_class10_class21_ temp31w8.scl | Cycle of 31 thirds tempered by 1/8 Wuerschmidt comma
 v___2_n_31_class10_class21_ temp31w9.scl | Cycle of 31 thirds tempered by 1/9 Wuerschmidt comma
 v___2_n_31_class13_class18_ mean2sev_31.scl | 31 of 2/7-comma meantone scale
 v___2_n_31_class13_class18_ mean9_31.scl | 31 of 2/9-comma meantone scale
 v___2_n_31_class13_class18_ meanquar_31.scl | 31 of 1/4-comma mean-tone scale
 v___2_n_31_class13_class18_ temp31h10.scl | Cycle of 31 fifths tempered by 1/10 Harrison's comma
 v___2_n_31_class13_class18_ temp31h11.scl | Cycle of 31 fifths tempered by 1/11 Harrison's comma
 v___2_n_31_class13_class18_ temp31h12.scl | Cycle of 31 fifths tempered by 1/12 Harrison's comma
 v___2_n_31_class13_class18_ temp31c51.scl | Cycle of 31 51/220-comma tempered fifths (twice diff. of 31-tET and 1/4-comma)
 v___2_n_31_class13_class18_ temp31h8.scl | Cycle of 31 fifths tempered by 1/8 Harrison's comma
 v___2_n_31_class13_class18_ temp31h9.scl | Cycle of 31 fifths tempered by 1/9 Harrison's comma
 v___2_n_33_class14_class19_ temp33a12.scl | Cycle of 33 fifths tempered by 1/12 "11 fifths" comma
 v___2_n_34_class11_class23_ temp34eb2a.scl | Cycle of 34 thirds, 5/4 beats twice 3/2
 v___2_n_34_class11_class23_ temp34w10.scl | Cycle of 34 thirds tempered by 1/10 Wuerschmidt comma
 v___2_n_34_class11_class23_ temp34w5.scl | Cycle of 34 thirds tempered by 1/5 Wuerschmidt comma
 v___2_n_34_class11_class23_ temp34w6.scl | Cycle of 34 thirds tempered by 1/6 Wuerschmidt comma
 v___2_n_34_class11_class23_ temp34w7.scl | Cycle of 34 thirds tempered by 1/7 Wuerschmidt comma
 v___2_n_34_class11_class23_ temp34w8.scl | Cycle of 34 thirds tempered by 1/8 Wuerschmidt comma
 v___2_n_34_class11_class23_ temp34w9.scl | Cycle of 34 thirds tempered by 1/9 Wuerschmidt comma
 v___2_n_41_class17_class24_ meanhsev.scl | Mean-tone scale with harmonic seventh
 v___2_n_41_class17_class24_ meansept3.scl | Mean-tone scale with septimal minor third
 v___2_n_41_class17_class24_ meansept4.scl | Mean-tone scale with septimal narrow fourth
 v___2_n_41_class17_class24_ meansept6.scl | Mean-tone scale with septimal neutral second
 v___2_n_43_class18_class25_ meanfifth_43.scl | Complete 1/5-comma mean-tone scale
 v___2_n_53_class22_class31_ meansabat_53.scl | 53-tone 1/9-schisma mean-tone scale
 v___2m_n_10_class_3_class_7_ breed7-3.scl | Graham Breed's 7 + 3 scale in 24-tET
 v___3_n__5_alt_class_1_abab_class_2_aaba_class_3_aaba_alt_class_4_abab_ harrison_5_3.scl | From Lou Harrison, a pelog style pentatonic
 v___3_n__5_alt_class_1_abab_class_2_aaba_class_3_aaba_alt_class_4_abab_ hirajoshi2.scl | Another Japanese pentatonic koto scale
 v___3_n__5_alt_class_1_abab_class_2_aaba_class_3_aaba_alt_class_4_abab_ ho_mai_nhi.scl | Ho Mai Nhi (Nam Hue) dan tranh scale, Vietnam
