basefreq = 261.63
R = Inf
range = Inf

------------------------------------------------------------
Now computing dissonance for (symmetrical) class ID=1 :
S =

  0  1  2  3  4

 [0,5,14,25,35] 	D = 2.7222
 [0,4,13,22,23] 	D = 3.9232
 [0,4,13,23,34] 	D = 2.9305
 [0,3,9,10,11] 	D = 6.5465
 [0,3,10,21,23] 	D = 4.2496
 [0,3,9,11,22] 	D = 4.6848
 [0,3,10,11,21] 	D = 5.1448
 [0,3,11,21,22] 	D = 4.6067
 [0,3,11,22,33] 	D = 3.4636
 [0,6,7,8,9] 	D = 7.7200
 [0,7,18,20,21] 	D = 4.5938
 [0,6,8,19,21] 	D = 4.4686
 [0,7,8,18,21] 	D = 4.5282
 [0,8,18,19,21] 	D = 4.4705
 [0,8,19,30,33] 	D = 2.4342
 [0,6,7,9,20] 	D = 5.5932
 [0,7,18,21,32] 	D = 2.9534
 [0,6,8,9,19] 	D = 5.4942
 [0,7,8,9,18] 	D = 5.9608
 [0,8,18,21,31] 	D = 3.0520
 [0,8,19,21,30] 	D = 3.2121
 [0,6,9,19,20] 	D = 4.7022
 [0,7,9,18,20] 	D = 4.6963
 [0,6,9,20,31] 	D = 3.4511
 [0,7,9,20,30] 	D = 3.6984
 [0,8,9,18,19] 	D = 5.0731
 [0,8,9,19,30] 	D = 3.8903
 [0,9,18,19,20] 	D = 5.1435
 [0,9,19,30,32] 	D = 2.6268
 [0,9,18,20,31] 	D = 3.5344
 [0,9,19,20,30] 	D = 3.7799
 [0,9,20,30,31] 	D = 3.3813
 [0,9,20,31,42] 	D = 2.5415

min, max, mean, stdev:
  2.0597  9.0466  4.2139  1.2708

Now computing dissonance for the inverse form:
S =

  0  3  4  5  6

 [0,3,4,5,6] 	D = 8.9693
 [0,9,13,14,15] 	D = 5.6309
 [0,4,15,17,18] 	D = 5.2298
 [0,1,9,14,15] 	D = 5.4326
 [0,8,11,13,14] 	D = 5.4797
 [0,11,20,25,26] 	D = 3.3492
 [0,3,5,16,18] 	D = 5.5183
 [0,9,14,25,27] 	D = 3.2308
 [0,4,5,15,18] 	D = 5.2162
 [0,1,2,9,15] 	D = 6.2212
 [0,8,13,23,26] 	D = 3.0914
 [0,11,13,20,26] 	D = 3.7006
 [0,5,15,16,18] 	D = 4.9960
 [0,2,9,13,15] 	D = 5.0900
 [0,5,16,27,30] 	D = 2.7653
 [0,2,13,21,27] 	D = 3.7559
 [0,1,8,11,14] 	D = 5.2022
 [0,1,11,20,26] 	D = 3.7838
 [0,7,10,11,13] 	D = 5.6293
 [0,10,19,23,25] 	D = 2.7545
 [0,7,11,22,25] 	D = 3.1638
 [0,10,11,19,25] 	D = 3.7616
 [0,11,19,22,25] 	D = 2.8161
 [0,11,22,31,37] 	D = 2.3018
 [0,3,4,6,17] 	D = 6.6873
 [0,9,13,15,26] 	D = 3.8610
 [0,4,15,18,29] 	D = 3.6141
 [0,1,9,15,26] 	D = 4.0343
 [0,8,11,14,25] 	D = 3.8083
 [0,11,20,26,37] 	D = 2.3834
 [0,3,5,6,16] 	D = 6.4854
 [0,9,14,15,25] 	D = 3.8741
 [0,4,5,6,15] 	D = 6.5828
 [0,1,2,3,9] 	D = 8.2769
 [0,8,13,14,23] 	D = 4.0275
 [0,11,13,14,20] 	D = 4.9956
 [0,5,15,18,28] 	D = 3.3990
 [0,2,9,15,25] 	D = 3.7138
 [0,5,16,18,27] 	D = 3.7703
 [0,2,13,15,21] 	D = 4.7472
 [0,1,8,14,23] 	D = 4.0075
 [0,1,11,14,20] 	D = 4.7071
 [0,7,10,13,23] 	D = 3.7933
 [0,10,19,25,35] 	D = 1.9488
 [0,7,11,13,22] 	D = 3.9914
 [0,10,11,13,19] 	D = 4.9726
 [0,11,19,25,34] 	D = 2.2393
 [0,11,22,25,31] 	D = 2.7271
 [0,3,6,16,17] 	D = 5.5433
 [0,9,15,25,26] 	D = 3.3884
 [0,4,6,15,17] 	D = 5.2565
 [0,1,3,9,14] 	D = 6.1536
 [0,8,14,23,25] 	D = 3.0538
 [0,11,14,20,25] 	D = 3.3599
 [0,3,6,17,28] 	D = 4.1428
 [0,9,15,26,37] 	D = 2.4392
 [0,4,6,17,27] 	D = 4.3009
 [0,1,3,14,21] 	D = 5.9707
 [0,8,14,25,35] 	D = 2.5744
 [0,11,14,25,32] 	D = 3.1358
 [0,5,6,15,16] 	D = 5.4370
 [0,2,3,9,13] 	D = 6.1338
 [0,5,6,16,27] 	D = 4.3181
 [0,2,3,13,21] 	D = 5.8543
 [0,1,2,8,11] 	D = 6.6269
 [0,1,2,11,20] 	D = 6.1871
 [0,7,13,22,23] 	D = 3.4712
 [0,10,13,19,23] 	D = 3.2678
 [0,7,13,23,34] 	D = 2.6609
 [0,10,13,23,31] 	D = 3.2861
 [0,11,13,19,22] 	D = 3.7254
 [0,11,13,22,31] 	D = 3.7207
 [0,6,15,16,17] 	D = 5.4506
 [0,3,9,13,14] 	D = 5.3400
 [0,6,16,27,29] 	D = 3.0787
 [0,3,13,21,26] 	D = 3.7050
 [0,2,8,11,13] 	D = 5.5748
 [0,2,11,20,25] 	D = 3.8910
 [0,6,15,17,28] 	D = 3.6823
 [0,3,9,14,25] 	D = 3.8182
 [0,6,16,17,27] 	D = 4.1189
 [0,3,13,14,21] 	D = 5.0681
 [0,2,8,13,23] 	D = 4.2793
 [0,2,11,13,20] 	D = 5.1461
 [0,6,17,27,28] 	D = 3.6080
 [0,3,14,21,25] 	D = 3.6399
 [0,6,17,28,39] 	D = 2.6687
 [0,3,14,25,33] 	D = 3.3364
 [0,2,13,20,23] 	D = 4.2102
 [0,2,13,23,32] 	D = 3.6383
 [0,1,7,10,11] 	D = 5.9930
 [0,1,10,19,23] 	D = 3.9350
 [0,1,7,11,22] 	D = 4.5254
 [0,1,10,11,19] 	D = 5.3824
 [0,1,11,19,22] 	D = 4.3055
 [0,1,11,22,31] 	D = 4.0032
 [0,6,9,10,11] 	D = 6.5038
 [0,9,18,22,23] 	D = 3.6291
 [0,6,10,21,23] 	D = 3.7440
 [0,9,10,18,23] 	D = 4.1541
 [0,10,18,21,23] 	D = 3.5472
 [0,10,21,30,35] 	D = 2.4170
 [0,6,9,11,22] 	D = 4.5104
 [0,9,18,23,34] 	D = 2.4894
 [0,6,10,11,21] 	D = 4.7101
 [0,9,10,11,18] 	D = 5.8293
 [0,10,18,23,33] 	D = 2.7069
 [0,10,21,23,30] 	D = 3.2064
 [0,6,11,21,22] 	D = 4.0403
 [0,9,11,18,22] 	D = 3.9886
 [0,6,11,22,33] 	D = 3.0763
 [0,9,11,22,30] 	D = 3.6802
 [0,10,11,18,21] 	D = 4.4585
 [0,10,11,21,30] 	D = 4.1217
 [0,11,18,21,22] 	D = 3.9414
 [0,11,21,30,34] 	D = 2.4180
 [0,11,18,22,33] 	D = 2.9012
 [0,11,21,22,30] 	D = 3.5575
 [0,11,22,30,33] 	D = 2.6502
 [0,11,22,33,42] 	D = 2.5001

min, max, mean, stdev:
  1.9488  8.9693  4.2077  1.2878

------------------------------------------------------------
Now computing dissonance for class ID=4 :
S =

  0  1  2  3  7

 [0,1,2,3,7] 	D = 8.4419
 [0,11,13,14,18] 	D = 4.9460
 [0,2,13,15,19] 	D = 4.7243
 [0,1,11,14,18] 	D = 4.7940
 [0,10,11,13,17] 	D = 5.0653
 [0,11,22,25,29] 	D = 2.7516
