"Lower","Upper","Triadic HE","ct","pmax","triad"
780,650,1.04235111732274,6,0.715627743337996,"7/11/16"
1140,620,1.04277052335903,4,0.605478597058956,"12/23/33"
380,460,1.04522051587554,6,0.669667244978918,"8/10/13"
240,290,1.04537878294853,4,0.707283662299756,"14/16/19"
750,60,1.04590979384486,6,0.612747272369941,"15/23/24"
530,330,1.04647158297059,4,0.485358111331498,"14/19/23"
180,320,1.04991751823606,6,0.690247438566039,"9/10/12"
920,450,1.05025903217386,7,0.704800018248558,"10/17/22"
200,770,1.05309381193324,5,0.702702750359786,"8/9/14"
650,700,1.05567423488682,5,0.697882071527155,"11/16/24"
320,890,1.05789175688295,5,0.696541007178652,"5/6/10"
710,440,1.05962936545263,3,0.574814615853022,"14/21/27"
1010,1200,1.06025964654743,6,0.62241561804365,"5/9/18"
930,390,1.06089664069059,6,0.710324253720372,"7/12/15"
1140,970,1.0613291304089,4,0.695389548917664,"11/21/37"
180,580,1.06190585438904,5,0.679623957169892,"9/10/14"
580,1200,1.06257613538958,5,0.682547223273735,"5/7/14"
630,60,1.06358700459077,4,0.562037285290317,"16/23/24"
590,60,1.06576500865477,5,0.670269471283494,"15/21/22"
10,380,1.06752363613541,7,0.726152187728593,"4/4/5"
210,490,1.06786040619643,5,0.683510043778753,"8/9/12"
700,140,1.06798450974345,6,0.670723159690028,"8/12/13"
1070,1060,1.06818762051438,7,0.734092999240853,"7/13/24"
540,500,1.06820731123317,7,0.684904337212018,"11/15/20"
750,1150,1.07135730208121,4,0.499546120607581,"11/17/33"
610,1020,1.07466546131774,4,0.662577200197255,"7/10/18"
700,220,1.07496053078634,6,0.593323165069886,"10/15/17"
1060,200,1.07499066999352,5,0.591025850920708,"13/24/27"
30,370,1.07600482368402,7,0.725362077059581,"4/4/5"
410,130,1.07650490301084,7,0.714743946147358,"11/14/15"
1140,450,1.07698555148673,5,0.643292553572948,"12/23/30"
500,310,1.07703219251971,4,0.49142222967614,"15/20/24"
270,1070,1.07805722572368,5,0.632577495878754,"6/7/13"
190,1060,1.07837766556335,6,0.638778374346745,"16/18/33"
770,700,1.07997880423021,5,0.677216025675778,"9/14/21"
840,250,1.08501916704689,6,0.703649394909282,"8/13/15"
560,750,1.08690702302801,6,0.639751848677043,"8/11/17"
1050,1030,1.0883164804564,6,0.703301776373224,"6/11/20"
430,1200,1.0883555576735,5,0.579091056301526,"7/9/18"
1140,560,1.0889161349428,6,0.575013173278514,"12/23/32"
410,1140,1.09009238216944,5,0.653179773933977,"11/14/27"
160,880,1.09023565151094,4,0.645606033877808,"11/12/20"
310,10,1.09276443559585,6,0.689215169658529,"5/6/6"
920,930,1.09309457879136,6,0.69842660752406,"10/17/29"
1050,710,1.09366859483398,5,0.601862656578052,"12/22/33"
70,750,1.09791857684941,6,0.63155556900543,"18/19/29"
260,60,1.09943662321799,5,0.622713080577732,"19/22/23"
450,130,1.09964673818392,4,0.667900346272215,"10/13/14"
360,700,1.09988087151483,5,0.659058639851962,"13/16/24"
390,1150,1.0999142497625,5,0.63407023170854,"12/15/29"
1050,800,1.10043593610366,3,0.521415949404201,"12/22/35"
60,400,1.1006036662521,6,0.694858748369451,"19/20/25"
550,540,1.10097466600057,7,0.684065446660888,"8/11/15"
750,580,1.1015788670817,6,0.594060154124329,"13/20/28"
1140,1150,1.10426236678312,6,0.627424062870487,"11/21/41"
780,540,1.10471703980254,5,0.623248423629586,"7/11/15"
80,1200,1.10721663655592,6,0.603259998811548,"16/17/34"
750,200,1.10796814926258,8,0.565114284925455,"11/17/19"
620,520,1.10810990931241,5,0.535271607285772,"14/20/27"
800,250,1.10890218073057,7,0.691918732911447,"12/19/22"
800,1150,1.10928856348779,4,0.48062941284534,"12/19/37"
830,620,1.11003130801905,5,0.494191713995085,"13/21/30"
360,550,1.11181240816362,5,0.599617488923626,"13/16/22"
1140,1100,1.11182847213981,5,0.600674567801227,"11/21/40"
590,370,1.11300265029139,6,0.464650416605483,"12/17/21"
540,210,1.11302379462191,6,0.633278017919583,"11/15/17"
700,760,1.11307357932754,6,0.653013408901906,"6/9/14"
330,200,1.11355652565658,6,0.698612416610911,"14/17/19"
890,960,1.11388436012752,4,0.474000932570638,"9/15/26"
700,310,1.11508242862637,6,0.52754414230777,"10/15/18"
700,550,1.11606667307233,5,0.55536349581155,"14/21/29"
1140,1060,1.11625857082906,5,0.665626648536969,"11/21/39"
840,1060,1.11636795176081,4,0.536889881386572,"8/13/24"
460,660,1.118214208277,6,0.533540534850231,"10/13/19"
180,700,1.11849552821704,5,0.685104275897788,"9/10/15"
740,520,1.11858496955447,4,0.506286684633431,"13/20/27"
1010,60,1.11909416837092,6,0.58705095268942,"14/25/26"
1140,190,1.12091964208042,5,0.586909870762599,"13/25/28"
700,940,1.12102019154162,5,0.482895912112154,"12/18/31"
650,770,1.12180045972068,7,0.692289703188839,"11/16/25"
1140,1020,1.12186789983612,5,0.671261519527577,"11/21/38"
60,470,1.12217299372026,5,0.671529775061676,"19/20/26"
1020,420,1.12219280680246,6,0.663809041530256,"10/18/23"
350,640,1.1227229821392,5,0.534151489638601,"9/11/16"
820,1030,1.12349022608118,6,0.689729131645434,"10/16/29"
850,640,1.12407148401643,5,0.482890790646754,"11/18/26"
850,570,1.12434844275371,4,0.467389052735663,"11/18/25"
1050,1120,1.12706408161012,6,0.683479693658942,"6/11/21"
1140,1190,1.12918040718047,4,0.5737193912928,"11/21/42"
1140,510,1.13106347853799,5,0.642487135105617,"12/23/31"
1010,770,1.13149138105954,5,0.584105937554486,"5/9/14"
970,120,1.1325804577239,6,0.670125429266054,"8/14/15"
350,60,1.13262884956813,5,0.657730081828041,"18/22/23"
890,860,1.13310753546753,4,0.576833370957405,"12/20/33"
880,120,1.13339081589261,6,0.683268011064637,"9/15/16"
570,180,1.13413732748081,7,0.627039975352459,"13/18/20"
1080,60,1.1356708198121,4,0.504700172342444,"14/26/27"
790,750,1.13608485188076,6,0.6324029171849,"7/11/17"
940,490,1.13829459413132,5,0.584056017863558,"7/12/16"
250,410,1.13902571251616,7,0.705355128841542,"13/15/19"
370,890,1.13909585573679,6,0.457363101528025,"12/15/25"
750,910,1.13915375697555,4,0.522005224357147,"13/20/34"
780,470,1.13930436130575,5,0.538711835867974,"14/22/29"
580,120,1.13968738122774,7,0.648517066094941,"10/14/15"
940,60,1.14023440194503,5,0.630726654077068,"14/24/25"
990,390,1.14031475114398,6,0.556626810832755,"9/16/20"
410,540,1.14124810295044,5,0.457027904393734,"11/14/19"
750,740,1.14153885695913,6,0.602515917137326,"11/17/26"
270,530,1.14167059454729,5,0.558077977945366,"12/14/19"
1070,250,1.14254001111501,5,0.630712755918435,"7/13/15"
390,920,1.14274098349121,8,0.675709249577847,"8/10/17"
660,950,1.14285808695278,5,0.52675955283044,"13/19/33"
1140,670,1.14369455531326,4,0.501604568890082,"12/23/34"
750,820,1.14461366114583,4,0.516643671608242,"13/20/32"
340,360,1.14564996035603,6,0.636281946395179,"14/17/21"
980,270,1.14580842188784,6,0.661904010313104,"13/23/27"
770,120,1.14599176527741,8,0.704903226510291,"9/14/15"
460,600,1.14643984433783,8,0.703295607229919,"13/17/24"
620,1110,1.14692877494013,7,0.701361988263911,"7/10/19"
140,360,1.14711261600236,6,0.697697799260009,"12/13/16"
550,420,1.14959271105556,5,0.587104376315561,"8/11/14"
640,1060,1.1518408945544,5,0.603499161399523,"9/13/24"
500,460,1.15244710774416,5,0.470659988467759,"12/16/21"
500,1050,1.15272758004288,7,0.671971133117323,"9/12/22"
260,870,1.15279112603489,5,0.502913130078882,"12/14/23"
650,390,1.15285542332326,6,0.621605955461864,"11/16/20"
290,740,1.15296275157114,4,0.519834982583979,"11/13/20"
930,890,1.15538615195204,8,0.698246051498273,"7/12/20"
150,700,1.15633258587582,7,0.649530879537665,"11/12/18"
530,410,1.15675095257661,3,0.460182831277097,"11/15/19"
250,130,1.1573651817622,6,0.543071719694561,"12/14/15"
840,1200,1.15804989905997,4,0.531876282153206,"8/13/26"
790,800,1.15955755779227,6,0.651438366028718,"12/19/30"
540,1200,1.15960995832936,5,0.433716940577783,"8/11/22"
180,810,1.16035980070559,8,0.658982867914441,"9/10/16"
750,280,1.16074753352366,6,0.561585291465033,"11/17/20"
410,400,1.16198565914474,7,0.590741168009802,"15/19/24"
