*no_scale_specified
5 2 5  v___2_n__3_class_1_class_2_ Raga Sarvasri, Warao tritonic: South America
7 5 5 7 5 7 5 7 5 5 7 5  v___2_n_12_class_5_class_7_ Twelve-tone Chromatic (1/24-comma positive)
7 6 6 7 6 7 6 7 6 6 7 6  v___2_n_12_class_5_class_7_ Meantone Chromatic (18/59-comma)
6 7 7 6 7 6 7 6 7 7 6 7  v___2_n_12_class_5_class_7_ Meantone Chromatic (3/20-comma)
8 7 7 8 7 8 7 8 7 7 8 7  v___2_n_12_class_5_class_7_ Meantone Chromatic (1/26-comma)
7 8 8 7 8 7 8 7 8 8 7 8  v___2_n_12_class_5_class_7_ Meantone Chromatic (1/7-comma)
9 7 7 9 7 9 7 9 7 7 9 7  v___2_n_12_class_5_class_7_ Twelve-tone Chromatic (1/125-comma positive)
7 9 9 7 9 7 9 7 9 9 7 9  v___2_n_12_class_5_class_7_ Meantone Chromatic (5/27-comma)
10 7 7 10 7 10 7 10 7 7 10 7  v___2_n_12_class_5_class_7_ Twelve-tone Chromatic (1/20-comma positive)
9 8 8 9 8 9 8 9 8 8 9 8  v___2_n_12_class_5_class_7_ Meantone Chromatic (1/22-comma)
8 9 9 8 9 8 9 8 9 9 8 9  v___2_n_12_class_5_class_7_ Meantone Chromatic (3/22-comma)
11 9 9 11 9 11 9 11 9 9 11 9  v___2_n_12_class_5_class_7_ Meantone Chromatic (1/83-comma)
16 13 13 16 13 16 13 16 13 13 16 13  v___2_n_12_class_5_class_7_ Meantone Chromatic (1/107-comma)
17 14 14 17 14 17 14 17 14 14 17 14  v___2_n_12_class_5_class_7_ Meantone Chromatic (1/68-comma)
1 2 1 2 1 1 2 1 1 2 1 2 1  v___2_n_13_class_5_class_8_ Wilson
1 2 2 2 2 2 2 1 2 2 2 2 2  v___2_n_13_class_6_class_7_ de Vries 13-tone
3 1 3 3 3 1 3 3 1 3  v___2m_n_10_class_3_class_7_ Breed 10-tone
2 1 4 1 4  v___3_n__5_alt_class_1_abab_class_2_aaba_class_3_aaba_alt_class_4_abab_ Hira-joshi: Japan
1 4 2 1 4  v___3_n__5_alt_class_1_abab_class_2_aaba_class_3_aaba_alt_class_4_abab_ Hon-kumoi-joshi, Sakura: Japan, Raga Salanganata, Saveri, Gunakri (Gunakali), Latantapriya, Olympos Enharmonic
1 4 1 4 2  v___3_n__5_alt_class_1_abab_class_2_aaba_class_3_aaba_alt_class_4_abab_ Iwato: Japan
4 2 1 4 1  v___3_n__5_alt_class_1_abab_class_2_aaba_class_3_aaba_alt_class_4_abab_ Raga Amritavarsini, Malashri
4 1 4 2 1  v___3_n__5_alt_class_1_abab_class_2_aaba_class_3_aaba_alt_class_4_abab_ Raga Bhinna Shadja, Kaushikdhvani, Hindolita
3 7 4 3 7  v___3_n__5_alt_class_1_abab_class_2_aaba_class_3_aaba_alt_class_4_abab_ Spondeion
1 2 4 1 4  v___3_n__5_alt_class_1_baba_class_2_abaa_class_3_abaa_alt_class_4_baba_ Balinese Pelog, Raga Bhupalam, Bhupala Todi, Bibhas
4 1 2 4 1  v___3_n__5_alt_class_1_baba_class_2_abaa_class_3_abaa_alt_class_4_baba_ Raga Gambhiranata, Ryukyu: Japan
4 1 4 1 2  v___3_n__5_alt_class_1_baba_class_2_abaa_class_3_abaa_alt_class_4_baba_ Raga Khamaji Durga
2 4 1 4 1  v___3_n__5_alt_class_1_baba_class_2_abaa_class_3_abaa_alt_class_4_baba_ Raga Vaijayanti, Hamsanada
1 3 1 3 4  v___3_n__5_alt_class_1_baba_class_2_bbab_class_3_bbab_alt_class_4_baba_ Raga Megharanjani, Syrian pentatonic
5 2 2 1 2  v___3_n__5_class_1_aaba_alt_class_2_abab_alt_class_3_abab_class_4_aaba_ Raga Kuntvarali
2 5 2 1 2  v___3_n__5_class_1_abaa_alt_class_2_baba_alt_class_3_baba_class_4_abaa_ Raga Matha Kokila (Matkokil)
2 2 5 2 1  v___3_n__5_class_1_abaa_alt_class_2_baba_alt_class_3_baba_class_4_abaa_ Raga Neroshta
2 1 2 2 5  v___3_n__5_class_1_abaa_alt_class_2_baba_alt_class_3_baba_class_4_abaa_ Raga Purnalalita, Chad Gadyo: Jewish, Ghana Pentatonic 1
4 1 2 1 4  v___3_n__5_class_1_abba_class_2_baab_class_3_abba_class_4_baab_ Raga Zilaf
1 4 2 4 1  v___3_n__5_class_1_baab_class_2_abba_class_3_baab_class_4_abba_ Raga Gauri
4 1 3 3 1  v___3_n__5_class_1_baab_class_2_abba_class_3_baab_class_4_abba_ Raga Girija
3 3 1 4 1  v___3_n__5_class_1_baab_class_2_abba_class_3_baab_class_4_abba_ Raga Multani
1 3 3 1 4  v___3_n__5_class_1_baab_class_2_abba_class_3_baab_class_4_abba_ Raga Reva, Revagupti, Ramkali, Bibhas (bhairava)
1 6 1 3 1  v___3_n__5_class_1_babb_alt_class_2_abab_alt_class_3_abab_class_4_babb_ Raga Deshgaur
1 3 3 2 3  v___3_n__5_class_1_babb_alt_class_2_abab_alt_class_3_abab_class_4_babb_ Raga Rasika Ranjani, Bibhas (marva), Scriabin
3 2 3 3 1  v___3_n__5_class_1_bbab_alt_class_2_baba_alt_class_3_baba_class_4_bbab_ Raga Chandrakauns (kiravani)
1 3 1 6 1  v___3_n__5_class_1_bbab_alt_class_2_baba_alt_class_3_baba_class_4_bbab_ Raga Megharanji
3 1 3 2 3  v___3_n__5_class_1_bbab_alt_class_2_baba_alt_class_3_baba_class_4_bbab_ Raga Mohanangi
1 1 4 1 5  v___3_n__5_class_1_bbab_alt_class_2_baba_alt_class_3_baba_class_4_bbab_ Raga Nabhomani
3 3 1 3 2  v___3_n__5_class_1_bbab_alt_class_2_baba_alt_class_3_baba_class_4_bbab_ Raga Samudhra Priya, Madhukauns (pentatonic)
1 5 1 1 4  v___3_n__5_class_1_bbab_alt_class_2_baba_alt_class_3_baba_class_4_bbab_ Raga Saugandhini, Yashranjani
1 3 2 1 2 1 2  v___3_n__7_alt_class_1_ababab_class_2_bbabbb_class_5_bbabbb_alt_class_6_ababab_ Mela Ramapriya, Raga Ramamanohari, Petrushka chord
2 1 2 1 2 3 1  v___3_n__7_alt_class_1_bababa_class_2_bbbabb_class_5_bbbabb_alt_class_6_bababa_ Locrian no.2
2 3 1 2 1 2 1  v___3_n__7_alt_class_1_bababa_class_2_bbbabb_class_5_bbbabb_alt_class_6_bababa_ Nohkan Flute scale: Japan
1 2 3 1 2 1 2  v___3_n__7_alt_class_1_bababa_class_2_bbbabb_class_5_bbbabb_alt_class_6_bababa_ Mela Sadvidhamargini, Raga Sthavarajam
3 1 2 1 2 1 2  v___3_n__7_alt_class_1_bababa_class_2_bbbabb_class_5_bbbabb_alt_class_6_bababa_ Hungarian Major, Mela Nasikabhusani, Raga Nasamani, Lydian sharp 2
3 2 1 3 2 3 1  v___3_n__7_alt_class_2_ababab_class_3_bbabbb_class_4_bbabbb_alt_class_5_ababab_ Fifteen-tone Major
4 3 1 4 3 4 1  v___3_n__7_alt_class_2_ababab_class_3_bbabbb_class_4_bbabbb_alt_class_5_ababab_ Twenty-tone Major
4 3 2 4 3 4 2  v___3_n__7_alt_class_2_ababab_class_3_bbabbb_class_4_bbabbb_alt_class_5_ababab_ Twenty-two tone "Just" Major
5 4 2 5 4 5 2  v___3_n__7_alt_class_2_ababab_class_3_bbabbb_class_4_bbabbb_alt_class_5_ababab_ Twenty-seven tone Major
5 4 3 5 4 5 3  v___3_n__7_alt_class_2_ababab_class_3_bbabbb_class_4_bbabbb_alt_class_5_ababab_ Twenty-nine tone "Just" Major
6 5 3 6 5 6 3  v___3_n__7_alt_class_2_ababab_class_3_bbabbb_class_4_bbabbb_alt_class_5_ababab_ Thirty-four tone "Just" Major
7 6 4 7 6 7 4  v___3_n__7_alt_class_2_ababab_class_3_bbabbb_class_4_bbabbb_alt_class_5_ababab_ Forty-one tone "Just" Major
8 7 4 8 7 8 4  v___3_n__7_alt_class_2_ababab_class_3_bbabbb_class_4_bbabbb_alt_class_5_ababab_ Forty-six tone "Just" Major
9 8 5 9 8 9 5  v___3_n__7_alt_class_2_ababab_class_3_bbabbb_class_4_bbabbb_alt_class_5_ababab_ Fifty-three tone "Just" Major
2 5 6 2 5 6 5  v___3_n__7_alt_class_2_bababa_class_3_aabaaa_class_4_aabaaa_alt_class_5_bababa_ Soft Diatonic Mixolydian
5 6 2 5 6 5 2  v___3_n__7_alt_class_2_bababa_class_3_aabaaa_class_4_aabaaa_alt_class_5_bababa_ Soft Diatonic Lydian
6 2 5 6 5 2 5  v___3_n__7_alt_class_2_bababa_class_3_aabaaa_class_4_aabaaa_alt_class_5_bababa_ Soft Diatonic Phrygian
2 5 6 5 2 5 6  v___3_n__7_alt_class_2_bababa_class_3_aabaaa_class_4_aabaaa_alt_class_5_bababa_ Soft Diatonic Dorian
5 6 5 2 5 6 2  v___3_n__7_alt_class_2_bababa_class_3_aabaaa_class_4_aabaaa_alt_class_5_bababa_ Soft Diatonic Hypolydian
6 5 2 5 6 2 5  v___3_n__7_alt_class_2_bababa_class_3_aabaaa_class_4_aabaaa_alt_class_5_bababa_ Soft Diatonic Hypophrygian
5 2 5 6 2 5 6  v___3_n__7_alt_class_2_bababa_class_3_aabaaa_class_4_aabaaa_alt_class_5_bababa_ Soft Diatonic Hypodorian
3 1 2 3 1 3 2  v___3_n__7_alt_class_2_bababa_class_3_bbbabb_class_4_bbbabb_alt_class_5_bababa_ Fifteen-tone Natural Minor
4 1 3 4 1 4 3  v___3_n__7_alt_class_2_bababa_class_3_bbbabb_class_4_bbbabb_alt_class_5_bababa_ Twenty-tone Minor
4 2 3 4 2 4 3  v___3_n__7_alt_class_2_bababa_class_3_bbbabb_class_4_bbbabb_alt_class_5_bababa_ Twenty-two tone Natural Minor
5 2 4 5 2 5 4  v___3_n__7_alt_class_2_bababa_class_3_bbbabb_class_4_bbbabb_alt_class_5_bababa_ Twenty-seven tone Minor
5 3 4 5 3 5 4  v___3_n__7_alt_class_2_bababa_class_3_bbbabb_class_4_bbbabb_alt_class_5_bababa_ Twenty-nine tone Natural Minor
6 3 5 6 3 6 5  v___3_n__7_alt_class_2_bababa_class_3_bbbabb_class_4_bbbabb_alt_class_5_bababa_ Thirty-four tone Natural Minor
8 4 7 8 4 8 7  v___3_n__7_alt_class_2_bababa_class_3_bbbabb_class_4_bbbabb_alt_class_5_bababa_ Forty-six tone Natural Minor
9 5 8 9 5 9 8  v___3_n__7_alt_class_2_bababa_class_3_bbbabb_class_4_bbbabb_alt_class_5_bababa_ Fifty-three tone "Just" Minor
1 3 1 2 1 3 1  v___3_n__7_class_1_abaaba_class_2_abaaba_class_3_babbab_class_4_abaaba_class_5_babbab_class_6_babbab_ Major Gipsy, Persian, Double Harmonic Major, Bhairav That, Mela Mayamalavagaula, Raga Paraj, Second Byzantine mode, Hitzaskiar: Greece, Maqam Zengule, Hijaz Kar
2 1 3 1 1 3 1  v___3_n__7_class_1_abaaba_class_2_abaaba_class_3_babbab_class_4_abaaba_class_5_babbab_class_6_babbab_ Minor Gipsy, Mela Simhendramadhyama, Raga Madhava Manohari, Maqam Suzdil, Nawa Athar, Double Harmonic Minor, Niavent: Greece
3 1 2 1 3 1 1  v___3_n__7_class_1_abaaba_class_2_abaaba_class_3_babbab_class_4_abaaba_class_5_babbab_class_6_babbab_ Mela Rasikapriya, Raga Rasamanjari
1 3 1 1 3 1 2  v___3_n__7_class_1_abaaba_class_2_abaaba_class_3_babbab_class_4_abaaba_class_5_babbab_class_6_babbab_ Oriental, Raga Ahira-Lalita
9 5 12 5 5 12 5  v___3_n__7_class_1_abaaba_class_2_abaaba_class_3_babbab_class_4_abaaba_class_5_babbab_class_6_babbab_ Maqam Neveser
1 1 4 1 1 3 1  v___3_n__7_class_1_bbabbb_alt_class_3_ababab_alt_class_4_ababab_class_6_bbabbb_ Mela Jhalavarali, Raga Varali
1 1 4 1 1 1 3  v___3_n__7_class_1_bbbabb_alt_class_3_bababa_alt_class_4_bababa_class_6_bbbabb_ Mela Salaga
5 2 2 9 2 2 2  v___3_n__7_class_1_bbbabb_alt_class_3_bababa_alt_class_4_bababa_class_6_bbbabb_ Hemiolic Chromatic Hypodorian
2 1 1 3 1 2 2  v___3d_n__7_class_1_baaabb_class_2_aababa_class_3_abbabb_class_4_aabaab_class_5_bababb_class_6_aabbba_ Sambah: Greece
1 2 2 2 1 1 3  v___3d_n__7_class_1_baaabb_class_2_aababa_class_3_abbabb_class_4_aabaab_class_5_bababb_class_6_aabbba_ Mela Senavati, Raga Senagrani, Malini
1 3 1 2 2 2 1  v___3d_n__7_class_1_baaabb_class_2_aababa_class_3_abbabb_class_4_aabaab_class_5_bababb_class_6_aabbba_ Mela Suryakanta, Bhairubahar That, Raga Supradhipam
2 2 2 1 1 3 1  v___3d_n__7_class_1_baaabb_class_2_aababa_class_3_abbabb_class_4_aabaab_class_5_bababb_class_6_aabbba_ Mela Latangi, Raga Gitapriya
1 2 2 2 1 3 1  v___3d_n__7_class_1_bbaaab_class_2_ababaa_class_3_bbabba_class_4_baabaa_class_5_bbabab_class_6_abbbaa_ Neapolitan Minor, Mela Dhenuka, Raga Dhunibinnashadjam, Maqam Shahnaz Kurdi
